dia,ano_referencia,mes_referencia,num_revisao,nom_semanaoperativa,cod_modelos,id_subsistema,nom_subsistema,nom_usina,val_cvu
2024-01-03,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
2024-01-04,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
2024-01-05,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
2023-12-30,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2023-12-31,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2024-01-01,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2024-01-02,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2024-01-03,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2024-01-04,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2024-01-05,2024,1,0,PMO Janeiro 2024,223,NE,NORDESTE,PROSP_III,29.773
2023-12-30,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2023-12-31,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2024-01-01,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2024-01-02,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2024-01-03,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2024-01-04,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2024-01-05,2024,1,0,PMO Janeiro 2024,96,NE,NORDESTE,TERMOPE,33.36
2023-12-30,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2023-12-31,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2024-01-01,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2024-01-02,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2024-01-03,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2024-01-04,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2024-01-05,2024,1,0,PMO Janeiro 2024,224,NE,NORDESTE,PSERGIPE I,49.247
2023-12-30,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2023-12-31,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2024-01-01,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2024-01-02,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2024-01-03,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2024-01-04,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2024-01-05,2024,1,0,PMO Janeiro 2024,167,NE,NORDESTE,P.PECEM1,49.437
2023-12-30,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
2023-12-31,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
2024-01-01,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
2024-01-02,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
2024-01-03,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
2024-01-04,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
2024-01-05,2024,1,0,PMO Janeiro 2024,163,NE,NORDESTE,P.PECEM2,50.341
