dia;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;239;N;NORTE;PARNAIBA_V;28.106
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;46;N;NORTE;N.VENECIA2;40.983
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;176;N;NORTE;P. ITAQUI;49.24
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;73;N;NORTE;GERAMAR1;145.771
